area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
super built-up  area,19-dec,hebbal,3 bhk,magiaya,1255.0,2.0,1.0,77.68,3.0,6189.641434262949
built-up  area,18-dec,kanakpura road,4 bhk,prityfa,2689.0,6.0,2.0,220.0,4.0,8181.480104127929
built-up  area,ready to move,yelenahalli,2 bhk,no society,1200.0,2.0,2.0,46.17,2.0,3847.5
super built-up  area,19-dec,sarjapur  road,3 bhk,daivon,1403.0,3.0,3.0,51.63,3.0,3679.9714896650034
super built-up  area,ready to move,kudlu gate,3 bhk,srier p,1535.0,3.0,2.0,85.0,3.0,5537.459283387622
plot  area,ready to move,chikkaballapur,3 bedroom,no society,1500.0,3.0,3.0,100.0,3.0,6666.666666666667
super built-up  area,ready to move,chamrajpet,3 bhk,sihtshe,1475.0,2.0,2.0,120.0,3.0,8135.593220338983
super built-up  area,ready to move,uttarahalli,3 bhk,no society,1390.0,2.0,2.0,60.47,3.0,4350.359712230216
super built-up  area,ready to move,raja rajeshwari nagar,3 bhk,no society,1278.0,2.0,1.0,53.76,3.0,4206.572769953052
super built-up  area,ready to move,vgp layout,2 bhk,abncees,1133.0,2.0,2.0,55.0,2.0,4854.368932038835
plot  area,ready to move,classic paradise layout,5 bedroom,no society,1560.0,5.0,1.0,145.0,5.0,9294.871794871795
plot  area,ready to move,byappanahalli,5 bedroom,no society,2900.0,5.0,2.0,90.0,5.0,3103.448275862069
super built-up  area,ready to move,kogilu,2 bhk,no society,1170.0,2.0,1.0,51.99,2.0,4443.589743589743
plot  area,ready to move,sahakara nagar,3 bedroom,no society,1200.0,3.0,3.0,200.0,3.0,16666.666666666668
super built-up  area,18-dec,whitefield,3 bhk,prtates,1697.0,3.0,2.0,94.79,3.0,5585.739540365351
super built-up  area,ready to move,thanisandra,3 bhk,no society,1651.0,3.0,3.0,97.38,3.0,5898.24348879467
super built-up  area,ready to move,vasanth nagar,3 bhk,siace p,1560.0,3.0,1.0,188.0,3.0,12051.28205128205
super built-up  area,17-apr,hennur road,3 bhk,koagati,1192.0,2.0,1.0,60.0,3.0,5033.557046979866
built-up  area,ready to move,ombr layout,2 bhk,no society,1078.0,2.0,3.0,65.0,2.0,6029.684601113173
super built-up  area,ready to move,kasavanhalli,2 bhk,salisal,1349.0,2.0,2.0,78.0,2.0,5782.060785767235
super built-up  area,ready to move,7th phase jp nagar,3 bhk,eladero,1680.0,3.0,2.0,120.0,3.0,7142.857142857143
super built-up  area,ready to move,rayasandra,3 bhk,no society,1314.0,2.0,2.0,63.0,3.0,4794.520547945205
super built-up  area,ready to move,garudachar palya,2 bhk,no society,1060.0,2.0,1.0,48.7,2.0,4594.33962264151
built-up  area,ready to move,kalyan nagar,2 bhk,slnorma,820.0,2.0,0.0,39.0,2.0,4756.09756097561
plot  area,ready to move,whitefield,4 bedroom,skensk,5000.0,4.0,3.0,400.0,4.0,8000.0
super built-up  area,ready to move,beml layout,3 bhk,no society,2000.0,3.0,2.0,85.0,3.0,4250.0
super built-up  area,ready to move,kalkere,2 bhk,sothin,856.0,2.0,3.0,40.0,2.0,4672.897196261682
super built-up  area,18-feb,rajaji nagar,3 bhk,puwerun,1621.0,4.0,0.0,130.0,3.0,8019.740900678594
plot  area,18-dec,itpl,3 bedroom,no society,1200.0,3.0,1.0,68.4,3.0,5700.000000000001
super built-up  area,ready to move,bannerghatta road,3 bhk,tgjrava,1484.0,3.0,2.0,52.5,3.0,3537.735849056604
plot  area,ready to move,siddapura,4 bedroom,apavea,14000.0,3.0,2.0,800.0,4.0,5714.285714285715
super built-up  area,ready to move,yelahanka new town,1 bhk,khatsfl,500.0,1.0,1.0,20.0,1.0,4000.0
super built-up  area,ready to move,makali,1 bhk,no society,485.0,1.0,1.0,15.0,1.0,3092.783505154639
super built-up  area,ready to move,7th phase jp nagar,2 bhk,no society,1050.0,2.0,1.0,42.0,2.0,4000.0
super built-up  area,ready to move,uttarahalli,3 bhk,no society,1617.0,3.0,3.0,66.68,3.0,4123.685837971553
built-up  area,ready to move,rwf west colony,3 bhk,pancyre,1384.0,3.0,2.0,62.28,3.0,4500.0
super built-up  area,18-apr,devanahalli,2 bhk,no society,1408.0,2.0,2.0,85.0,2.0,6036.931818181818
built-up  area,ready to move,uttarahalli,2 bhk,sungsha,1150.0,2.0,1.0,49.0,2.0,4260.869565217391
super built-up  area,ready to move,akshaya nagar,3 bhk,no society,1410.0,2.0,2.0,75.0,3.0,5319.148936170212
built-up  area,ready to move,kaggadasapura,4 bhk,adsia f,2150.0,4.0,1.0,100.0,4.0,4651.162790697675
super built-up  area,ready to move,koramangala,3 bhk,no society,2292.0,4.0,1.0,275.0,3.0,11998.25479930192
built-up  area,ready to move,malleshwaram,3 bhk,maens g,2006.0,3.0,2.0,297.0,3.0,14805.583250249252
built-up  area,ready to move,maragondanahalli,3 bhk,arnzafi,1508.0,3.0,2.0,70.25,3.0,4658.488063660478
built-up  area,ready to move,ramamurthy nagar,2 bhk,foghaa,1040.0,2.0,2.0,50.0,2.0,4807.692307692308
plot  area,ready to move,tc palaya,2 bedroom,lancy r,1240.0,2.0,1.0,60.0,2.0,4838.709677419355
super built-up  area,ready to move,kudlu gate,3 bhk,srier p,1535.0,3.0,1.0,78.0,3.0,5081.4332247557
built-up  area,ready to move,lakshminarayana pura,2 bhk,rothava,1180.0,2.0,2.0,75.0,2.0,6355.932203389831
built-up  area,ready to move,abbigere,6 bedroom,no society,2200.0,6.0,2.0,68.0,6.0,3090.909090909091
super built-up  area,ready to move,bannerghatta road,2 bhk,snity s,1400.0,2.0,2.0,78.0,2.0,5571.428571428572
super built-up  area,ready to move,raja rajeshwari nagar,1 bhk,no society,500.0,1.0,1.0,25.0,1.0,5000.0
plot  area,ready to move,whitefield,4 bedroom,pronege,4800.0,4.0,3.0,525.0,4.0,10937.5
super built-up  area,ready to move,sarjapur  road,3 bhk,puallhi,1984.0,4.0,1.0,146.0,3.0,7358.870967741936
plot  area,ready to move,whitefield,4 bedroom,vde 1du,3000.0,5.0,3.0,250.0,4.0,8333.333333333334
super built-up  area,ready to move,garudachar palya,3 bhk,brlisme,1960.0,3.0,3.0,160.0,3.0,8163.265306122449
super built-up  area,ready to move,sarjapur  road,2 bhk,shthi s,1035.0,2.0,1.0,45.0,2.0,4347.826086956522
built-up  area,ready to move,vibuthipura,4 bedroom,no society,2150.0,4.0,1.0,80.0,4.0,3720.9302325581393
built-up  area,ready to move,whitefield,3 bhk,mithmn,1700.0,3.0,2.0,115.0,3.0,6764.705882352941
super built-up  area,ready to move,hosakerehalli,4 bhk,taonte,3024.0,5.0,1.0,248.0,4.0,8201.0582010582
super built-up  area,21-jan,tumkur road,3 bhk,sapus s,1586.0,3.0,1.0,100.0,3.0,6305.170239596469
built-up  area,18-may,hennur,3 bedroom,asoilul,2264.0,2.0,2.0,155.0,3.0,6846.2897526501765
plot  area,ready to move,chikka tirupathi,4 bedroom,theanmp,2325.0,4.0,1.0,120.0,4.0,5161.290322580645
super built-up  area,ready to move,yelahanka,2 bhk,rarthne,1120.0,2.0,2.0,55.0,2.0,4910.714285714285
super built-up  area,18-jun,yelahanka,3 bhk,shalkri,1662.0,2.0,2.0,67.98,3.0,4090.2527075812272
super built-up  area,ready to move,sarjapur  road,2 bhk,charkgr,1128.0,2.0,2.0,59.0,2.0,5230.49645390071
super built-up  area,ready to move,jigani,2 bhk,dlhtsan,924.0,2.0,2.0,65.0,2.0,7034.632034632034
super built-up  area,ready to move,suraksha nagar,3 bhk,aritafe,1600.0,3.0,2.0,52.0,3.0,3250.0
super built-up  area,ready to move,pai layout,2 bhk,no society,1006.0,2.0,2.0,35.0,2.0,3479.1252485089462
super built-up  area,ready to move,amruthahalli,2 bhk,srncy r,1200.0,2.0,2.0,55.0,2.0,4583.333333333333
super built-up  area,20-dec,jalahalli west,2 bhk,no society,1250.0,2.0,1.0,62.0,2.0,4960.0
plot  area,ready to move,defence layout,3 bedroom,no society,1200.0,3.0,1.0,130.0,3.0,10833.333333333334
built-up  area,ready to move,kannamangala,2 bhk,vbownre,957.0,2.0,1.0,56.0,2.0,5851.619644723093
super built-up  area,ready to move,whitefield,2 bhk,ssthamh,1140.0,2.0,2.0,41.0,2.0,3596.4912280701756
super built-up  area,ready to move,roopena agrahara,2 bhk,rortsco,1050.0,2.0,1.0,67.0,2.0,6380.952380952381
super built-up  area,ready to move,kasturi nagar,3 bhk,no society,1565.0,3.0,2.0,88.5,3.0,5654.952076677317
super built-up  area,ready to move,whitefield,2 bhk,gclmsun,1190.0,2.0,3.0,57.0,2.0,4789.915966386555
built-up  area,18-jan,whitefield,3 bedroom,no society,2842.0,3.0,2.0,162.0,3.0,5700.2111189303305
built-up  area,ready to move,kanakpura road,3 bhk,soapesu,1558.67,2.0,2.0,65.0,3.0,4170.222048284755
super built-up  area,ready to move,electronics city phase 1,1 bhk,no society,630.0,1.0,1.0,39.0,1.0,6190.476190476191
super built-up  area,ready to move,whitefield,3 bhk,iseenst,1403.0,2.0,2.0,60.81,3.0,4334.283677833215
super built-up  area,ready to move,kanakpura road,3 bhk,slourle,1542.0,2.0,3.0,85.0,3.0,5512.321660181582
built-up  area,ready to move,haralur road,4 bedroom,idlleri,2750.0,4.0,0.0,220.0,4.0,8000.0
super built-up  area,ready to move,iblur village,4 bhk,emine p,3596.0,5.0,1.0,290.0,4.0,8064.5161290322585
super built-up  area,ready to move,kengeri satellite town,3 bhk,no society,1635.0,2.0,2.0,78.0,3.0,4770.642201834862
super built-up  area,ready to move,mysore road,2 bhk,no society,1239.0,2.0,1.0,53.0,2.0,4277.643260694108
super built-up  area,ready to move,haralur road,2 bhk,no society,1194.0,2.0,2.0,47.0,2.0,3936.348408710218
super built-up  area,ready to move,dooravani nagar,3 bhk,puceswn,1596.0,3.0,1.0,105.0,3.0,6578.9473684210525
super built-up  area,17-nov,channasandra,2 bhk,unm 2el,1009.0,2.0,1.0,38.34,2.0,3799.8017839445
super built-up  area,18-jul,hosa road,3 bhk,mahesr,1726.0,3.0,2.0,81.99,3.0,4750.289687137891
super built-up  area,ready to move,kudlu gate,3 bhk,srier p,1535.0,3.0,2.0,86.0,3.0,5602.605863192182
super built-up  area,ready to move,banashankari stage v,3 bhk,no society,1300.0,2.0,1.0,58.5,3.0,4500.0
plot  area,ready to move,whitefield,4 bedroom,adowslm,3100.0,4.0,2.0,465.0,4.0,15000.0
super built-up  area,ready to move,coconut garden,3 bhk,no society,1800.0,3.0,3.0,80.0,3.0,4444.444444444444
super built-up  area,19-dec,binny pete,1 bhk,shestlo,665.0,1.0,0.0,50.75,1.0,7631.578947368421
plot  area,ready to move,tc palaya,3 bedroom,no society,1500.0,2.0,1.0,100.0,3.0,6666.666666666667
built-up  area,ready to move,kalkere,2 bhk,sothin,925.0,2.0,2.0,48.0,2.0,5189.189189189189
super built-up  area,18-dec,old airport road,4 bhk,jaades,3356.0,4.0,2.0,251.0,4.0,7479.141835518474
super built-up  area,ready to move,gollahalli,2 bhk,arzzare,1395.0,2.0,1.0,63.59,2.0,4558.4229390681
super built-up  area,ready to move,sonnenahalli,3 bhk,dsgam s,1415.0,2.0,1.0,55.0,3.0,3886.9257950530036
super built-up  area,ready to move,begur,3 bhk,arera v,1419.0,2.0,2.0,59.0,3.0,4157.85764622974
super built-up  area,18-feb,kasavanhalli,2 bhk,brersge,1121.0,2.0,2.0,78.0,2.0,6958.07314897413
super built-up  area,ready to move,kambipura,3 bhk,no society,1082.0,2.0,1.0,45.0,3.0,4158.964879852126
super built-up  area,18-jun,kr puram,2 bhk,mcnexva,1100.0,2.0,1.0,47.0,2.0,4272.727272727273
super built-up  area,ready to move,hoodi,3 bhk,keers s,1606.0,3.0,3.0,89.55,3.0,5575.965130759651
built-up  area,ready to move,billekahalli,3 bhk,no society,1650.0,3.0,2.0,88.0,3.0,5333.333333333333
super built-up  area,ready to move,d souza layout,3 bhk,niateki,4634.0,4.0,3.0,1015.0,3.0,21903.32326283988
super built-up  area,ready to move,old airport road,2 bhk,vadel c,1206.0,2.0,3.0,75.0,2.0,6218.905472636816
built-up  area,ready to move,sarjapur  road,3 bhk,hiidesu,1495.0,2.0,0.0,64.0,3.0,4280.936454849499
super built-up  area,ready to move,electronic city,2 bhk,itelaa,710.0,2.0,2.0,16.0,2.0,2253.521126760563
super built-up  area,ready to move,balagere,2 bhk,no society,1210.0,2.0,1.0,72.0,2.0,5950.413223140496
super built-up  area,ready to move,nagarbhavi,3 bhk,dsesthr,1523.0,2.0,2.0,53.4,3.0,3506.2376887721603
super built-up  area,ready to move,whitefield,2 bhk,krine c,1232.0,2.0,2.0,45.0,2.0,3652.5974025974024
super built-up  area,20-aug,rachenahalli,1 bhk,asnowre,680.0,1.0,1.0,44.0,1.0,6470.588235294118
super built-up  area,19-dec,hebbal,3 bhk,magiaya,1355.0,3.0,1.0,83.87,3.0,6189.667896678967
super built-up  area,ready to move,thanisandra,3 bhk,menueno,1430.0,2.0,2.0,51.46,3.0,3598.6013986013986
super built-up  area,18-jun,kothannur,3 bhk,no society,1275.0,2.0,2.0,43.85,3.0,3439.2156862745096
super built-up  area,ready to move,electronic city,2 bhk,gmown e,1070.0,2.0,1.0,56.1,2.0,5242.990654205608
plot  area,ready to move,bettahalsoor,3 bedroom,no society,1200.0,3.0,1.0,85.0,3.0,7083.333333333333
plot  area,ready to move,electronic city,4 bedroom,no society,2000.0,4.0,0.0,120.0,4.0,6000.0
super built-up  area,ready to move,bommanahalli,2 bhk,no society,1200.0,2.0,2.0,40.0,2.0,3333.3333333333335
super built-up  area,ready to move,marathahalli,3 bhk,satatha,1610.0,3.0,1.0,90.0,3.0,5590.062111801242
super built-up  area,ready to move,haralur road,2 bhk,rinceeg,1140.0,2.0,2.0,43.0,2.0,3771.9298245614036
super built-up  area,ready to move,raja rajeshwari nagar,2 bhk,grrvagr,1143.0,2.0,2.0,38.65,2.0,3381.4523184601926
super built-up  area,22-may,jakkur,4 bhk,soinec,3467.86,6.0,3.0,249.0,4.0,7180.220654813054
super built-up  area,ready to move,rachenahalli,3 bhk,sovar s,1530.0,2.0,2.0,74.4,3.0,4862.745098039216
super built-up  area,ready to move,7th phase jp nagar,2 bhk,brnia g,980.0,2.0,2.0,69.0,2.0,7040.816326530612
super built-up  area,ready to move,whitefield,3 bhk,chodsgr,1485.0,3.0,2.0,65.0,3.0,4377.104377104377
plot  area,18-may,whitefield,3 bedroom,woarkem,1500.0,3.0,1.0,130.0,3.0,8666.666666666666
super built-up  area,18-oct,whitefield,2 bhk,umods w,1280.0,2.0,1.0,75.0,2.0,5859.375
super built-up  area,ready to move,thanisandra,2 bhk,bhmesy,1265.0,2.0,2.0,85.0,2.0,6719.367588932806
built-up  area,20-dec,"ecc road, whitefield,",2 bhk,no society,1132.0,2.0,1.0,67.0,2.0,5918.727915194347
super built-up  area,ready to move,ashwath nagar,2 bhk,sjcerpe,1262.0,2.0,2.0,63.0,2.0,4992.076069730587
super built-up  area,ready to move,jp nagar,2 bhk,maentor,940.0,2.0,1.0,49.0,2.0,5212.765957446809
super built-up  area,ready to move,seetharampalya,3 bhk,no society,1515.0,3.0,3.0,88.0,3.0,5808.580858085808
super built-up  area,ready to move,jigani,3 bhk,dlhtsan,1300.0,3.0,3.0,150.0,3.0,11538.461538461539
built-up  area,ready to move,kothanur,3 bedroom,no society,1840.0,3.0,1.0,69.0,3.0,3750.0
built-up  area,ready to move,electronic city,2 bhk,itvir m,890.0,2.0,2.0,45.0,2.0,5056.179775280899
super built-up  area,ready to move,rukmaiah layout,3 bhk,no society,1655.0,3.0,2.0,86.06,3.0,5200.0
super built-up  area,ready to move,hennur road,3 bhk,sairesa,2060.0,3.0,1.0,149.0,3.0,7233.0097087378645
super built-up  area,ready to move,bommanahalli,3 bhk,sneur g,1730.0,3.0,1.0,96.0,3.0,5549.132947976878
built-up  area,ready to move,yelahanka,3 bhk,leilo e,2195.0,4.0,2.0,127.0,3.0,5785.876993166287
super built-up  area,18-mar,kathriguppe,3 bhk,no society,1650.0,3.0,2.0,125.0,3.0,7575.757575757576
plot  area,ready to move,kr puram,2 bedroom,no society,1200.0,2.0,0.0,71.0,2.0,5916.666666666667
super built-up  area,18-may,hosa road,2 bhk,no society,1079.0,2.0,1.0,32.37,2.0,2999.9999999999995
super built-up  area,19-oct,panathur,2 bhk,caiya d,1085.0,2.0,1.0,36.0,2.0,3317.9723502304146
built-up  area,ready to move,maruthi sevanagar,7 bedroom,no society,5000.0,7.0,2.0,299.0,7.0,5980.0
super built-up  area,ready to move,yelahanka,2 bhk,no society,1075.0,2.0,1.0,51.5,2.0,4790.697674418605
super built-up  area,18-may,devanahalli int. airport,2 bhk,no society,1380.0,2.0,1.0,80.0,2.0,5797.101449275362
super built-up  area,ready to move,puttanahalli,3 bhk,no society,1450.0,3.0,1.0,65.0,3.0,4482.758620689655
super built-up  area,ready to move,thubarahalli,2 bhk,no society,1200.0,2.0,2.0,78.0,2.0,6500.0
super built-up  area,ready to move,benson town,3 bhk,no society,3200.0,4.0,2.0,350.0,3.0,10937.5
super built-up  area,21-jul,hoodi,3 bhk,goairej,1639.0,3.0,1.0,98.32,3.0,5998.779743746187
super built-up  area,ready to move,jakkuru layout,2 bhk,no society,1200.0,2.0,1.0,54.0,2.0,4500.0
super built-up  area,21-jun,vijayanagar,3 bhk,saityat,1739.0,3.0,1.0,116.0,3.0,6670.500287521564
built-up  area,ready to move,palanahalli,4 bedroom,rmaansa,4346.0,5.0,2.0,500.0,4.0,11504.83202945237
super built-up  area,20-dec,old madras road,2 bhk,shmes o,935.0,2.0,1.0,32.72,2.0,3499.4652406417113
super built-up  area,21-nov,thanisandra,1 rk,bhe 2ko,510.0,1.0,1.0,25.25,1.0,4950.980392156863
super built-up  area,ready to move,nagondanahalli,2 bhk,prestse,1178.0,2.0,3.0,47.0,2.0,3989.8132427843802
built-up  area,ready to move,chikkalasandra,3 bhk,siourpl,1375.0,2.0,1.0,50.0,3.0,3636.3636363636365
super built-up  area,ready to move,chandapura,3 bhk,halms s,1065.0,2.0,1.0,33.0,3.0,3098.5915492957747
super built-up  area,ready to move,2nd phase judicial layout,3 bhk,no society,1450.0,2.0,1.0,50.75,3.0,3500.0
built-up  area,ready to move,beml layout,2 bhk,no society,999.0,2.0,3.0,45.0,2.0,4504.504504504504
super built-up  area,ready to move,amruthahalli,2 bhk,no society,4400.0,3.0,2.0,475.0,2.0,10795.454545454546
built-up  area,ready to move,kothannur,2 bhk,no society,1100.0,2.0,2.0,40.0,2.0,3636.3636363636365
super built-up  area,ready to move,koramangala,3 bhk,wiass g,1835.0,2.0,3.0,155.0,3.0,8446.866485013625
super built-up  area,20-dec,hoodi,4 bhk,caycend,2090.0,4.0,0.0,95.1,4.0,4550.239234449761
super built-up  area,ready to move,lingadheeranahalli,3 bhk,soiewre,1519.0,3.0,1.0,93.0,3.0,6122.448979591837
built-up  area,ready to move,dommasandra,3 bhk,asene s,1267.0,3.0,2.0,56.0,3.0,4419.889502762431
super built-up  area,ready to move,sanjay nagar,2 bhk,camesa,1150.0,2.0,3.0,72.2,2.0,6278.260869565217
super built-up  area,19-dec,marathahalli,2 bhk,prenske,1146.0,2.0,1.0,70.0,2.0,6108.202443280978
built-up  area,ready to move,kannamangala,3 bhk,marnaer,1550.0,3.0,3.0,65.0,3.0,4193.548387096775
built-up  area,ready to move,chandapura,2 bhk,khityry,850.0,1.0,1.0,18.5,2.0,2176.470588235294
super built-up  area,ready to move,richmond town,3 bhk,kaestid,2200.0,3.0,2.0,187.0,3.0,8500.0
built-up  area,ready to move,"sarjapur road,",3 bedroom,no society,3329.0,3.0,2.0,330.0,3.0,9912.886752778611
carpet  area,ready to move,electronics city phase 1,1 bhk,no society,785.0,1.0,1.0,55.0,1.0,7006.369426751592
super built-up  area,ready to move,hebbal kempapura,3 bhk,gonumpl,2900.0,4.0,2.0,300.0,3.0,10344.827586206897
built-up  area,ready to move,raja rajeshwari nagar,3 bhk,avlya a,1610.0,3.0,2.0,74.0,3.0,4596.273291925466
super built-up  area,ready to move,bellandur,2 bhk,krine o,921.0,2.0,2.0,40.0,2.0,4343.105320304017
built-up  area,ready to move,bannerghatta road,5 bedroom,no society,2700.0,5.0,0.0,158.0,5.0,5851.851851851852
super built-up  area,ready to move,sarjapur  road,3 bhk,socushi,1700.0,3.0,3.0,110.0,3.0,6470.588235294118
built-up  area,ready to move,sarjapur,2 bhk,sondaka,1020.0,2.0,2.0,35.0,2.0,3431.372549019608
super built-up  area,ready to move,billekahalli,2 bhk,dintsmi,1090.0,2.0,3.0,52.0,2.0,4770.642201834862
plot  area,ready to move,bagalur main road,4 bedroom,no society,3600.0,4.0,2.0,300.0,4.0,8333.333333333334
super built-up  area,ready to move,haralur road,2 bhk,no society,1027.0,2.0,2.0,44.0,2.0,4284.323271665044
super built-up  area,ready to move,thanisandra,2 bhk,menueno,1185.0,2.0,2.0,42.1,2.0,3552.7426160337554
super built-up  area,ready to move,doddathoguru,2 bhk,prianhi,850.0,2.0,1.0,25.0,2.0,2941.176470588235
built-up  area,ready to move,harlur,2 bhk,prncyrn,1197.0,2.0,1.0,84.0,2.0,7017.543859649123
super built-up  area,ready to move,byadarahalli,4 bhk,etntsce,3500.0,3.0,3.0,450.0,4.0,12857.142857142857
super built-up  area,ready to move,poorna pragna layout,2 bhk,no society,920.0,2.0,2.0,39.55,2.0,4298.91304347826
super built-up  area,ready to move,raja rajeshwari nagar,2 bhk,i1rtsco,1105.0,2.0,1.0,65.0,2.0,5882.35294117647
super built-up  area,ready to move,yeshwanthpur,3 bhk,goandac,1850.0,3.0,3.0,100.0,3.0,5405.405405405405
super built-up  area,20-dec,judicial layout,3 bhk,prarepa,1300.0,3.0,1.0,64.0,3.0,4923.076923076923
built-up  area,ready to move,"varthur road,",3 bhk,no society,1595.0,3.0,2.0,76.0,3.0,4764.8902821316615
super built-up  area,19-dec,kodihalli,4 bhk,priesla,3073.0,5.0,2.0,696.0,4.0,22648.87731858119
built-up  area,ready to move,horamavu agara,2 bhk,no society,755.0,2.0,1.0,37.49,2.0,4965.562913907284
built-up  area,ready to move,nagasandra,5 bedroom,no society,4050.0,5.0,2.0,140.0,5.0,3456.7901234567903
super built-up  area,21-dec,kanakpura road,3 bhk,no society,1300.0,2.0,3.0,69.0,3.0,5307.692307692308
built-up  area,ready to move,bannerghatta road,2 bhk,no society,1215.0,2.0,0.0,50.0,2.0,4115.22633744856
super built-up  area,20-oct,kanakpura road,2 bhk,prarepa,900.0,2.0,1.0,46.0,2.0,5111.111111111111
super built-up  area,18-oct,banashankari stage iii,2 bhk,no society,1145.0,2.0,3.0,58.4,2.0,5100.436681222707
super built-up  area,ready to move,chikka banaswadi,2 bhk,no society,1093.0,2.0,2.0,65.0,2.0,5946.935041171088
super built-up  area,17-nov,babusapalaya,3 bhk,no society,1213.0,2.0,2.0,41.39,3.0,3412.201154163232
super built-up  area,ready to move,bannerghatta road,3 bhk,prliare,1654.0,3.0,2.0,100.0,3.0,6045.949214026602
super built-up  area,ready to move,ngr layout,2 bhk,no society,1105.0,2.0,1.0,52.48,2.0,4749.321266968326
super built-up  area,ready to move,babusapalaya,3 bhk,no society,1611.0,2.0,2.0,66.0,3.0,4096.83426443203
built-up  area,ready to move,outer ring road east,2 bhk,hoens t,1367.0,2.0,2.0,62.0,2.0,4535.479151426482
super built-up  area,ready to move,devanahalli,2 bhk,brntsal,1010.0,2.0,1.0,51.0,2.0,5049.504950495049
carpet  area,ready to move,vinayaka nagar,3 bhk,svon hn,1535.0,3.0,1.0,95.0,3.0,6188.9250814332245
super built-up  area,ready to move,anekal,2 bhk,no society,620.0,2.0,1.0,22.0,2.0,3548.3870967741937
built-up  area,ready to move,horamavu agara,2 bhk,no society,982.0,2.0,1.0,47.65,2.0,4852.34215885947
super built-up  area,ready to move,banashankari stage ii,2 bhk,no society,1700.0,2.0,2.0,150.0,2.0,8823.529411764706
super built-up  area,18-dec,whitefield,2 bhk,bslasin,1330.0,2.0,1.0,71.0,2.0,5338.345864661655
built-up  area,ready to move,jp nagar,3 bedroom,ronty c,2500.0,3.0,2.0,135.0,3.0,5400.0
super built-up  area,ready to move,poorna pragna layout,3 bhk,no society,1475.0,2.0,2.0,58.99,3.0,3999.322033898305
super built-up  area,ready to move,bhoganhalli,3 bhk,bsisear,1410.0,3.0,1.0,65.0,3.0,4609.929078014185
super built-up  area,ready to move,yelahanka new town,1 bhk,no society,440.0,1.0,1.0,16.5,1.0,3750.0
super built-up  area,ready to move,yelahanka,3 bhk,puziave,1614.0,3.0,2.0,95.0,3.0,5885.9975216852545
super built-up  area,ready to move,neeladri nagar,2 bhk,geereec,1363.0,2.0,2.0,68.0,2.0,4988.994864269993
built-up  area,ready to move,kogilu,2 bedroom,no society,650.0,2.0,0.0,28.0,2.0,4307.692307692308
super built-up  area,ready to move,dodda kempaiah layout,2 bhk,no society,1015.0,2.0,1.0,45.0,2.0,4433.4975369458125
super built-up  area,ready to move,horamavu banaswadi,2 bhk,no society,1156.0,2.0,2.0,46.0,2.0,3979.2387543252594
super built-up  area,19-mar,hennur busstop,2 bhk,no society,1100.0,2.0,1.0,62.7,2.0,5700.0
super built-up  area,18-jan,kr puram,3 bhk,no society,1455.0,3.0,2.0,46.0,3.0,3161.512027491409
super built-up  area,ready to move,gb palya,2 bhk,ravashw,930.0,2.0,1.0,45.0,2.0,4838.709677419355
built-up  area,ready to move,ams layout,3 bhk,no society,1650.0,2.0,2.0,80.0,3.0,4848.484848484848
built-up  area,ready to move,kr puram,2 bedroom,no society,1200.0,2.0,0.0,90.0,2.0,7500.0
plot  area,ready to move,9th block jayanagar,1 bedroom,no society,700.0,1.0,0.0,150.0,1.0,21428.571428571428
super built-up  area,ready to move,karuna nagar,4 bhk,ajityin,2900.0,3.0,2.0,135.0,4.0,4655.172413793103
super built-up  area,18-mar,kadugodi,3 bhk,alestrb,1890.0,4.0,3.0,127.0,3.0,6719.576719576719
super built-up  area,ready to move,ashwathnagar,3 bhk,vaour s,2197.0,4.0,3.0,280.0,3.0,12744.651797906236
super built-up  area,ready to move,hebbal kempapura,3 bhk,gonumpl,3522.0,3.0,2.0,380.0,3.0,10789.324247586599
super built-up  area,18-apr,gaurava nagar,3 bhk,no society,1240.0,2.0,2.0,46.0,3.0,3709.6774193548385
built-up  area,ready to move,hrbr layout,2 bhk,vaaveeh,1440.0,2.0,2.0,98.0,2.0,6805.555555555556
super built-up  area,ready to move,kodichikkanahalli,1 bhk,no society,650.0,1.0,2.0,38.0,1.0,5846.153846153846
super built-up  area,19-jun,budigere,1 bhk,brstaue,764.0,1.0,1.0,32.0,1.0,4188.48167539267
super built-up  area,ready to move,raja rajeshwari nagar,3 bhk,grrvagr,1693.0,3.0,3.0,57.39,3.0,3389.84051978736
built-up  area,ready to move,hoodi,3 bhk,macanr,1445.0,3.0,2.0,65.0,3.0,4498.269896193771
super built-up  area,21-oct,kanakpura road,2 bhk,prarepa,900.0,1.0,0.0,45.0,2.0,5000.0
super built-up  area,ready to move,singasandra,2 bhk,no society,1030.0,2.0,2.0,55.0,2.0,5339.805825242718
super built-up  area,ready to move,yelahanka,3 bhk,pyikad,1381.0,2.0,2.0,52.48,3.0,3800.1448225923245
built-up  area,ready to move,basapura,2 bhk,krtiqa,1100.0,2.0,1.0,60.0,2.0,5454.545454545455
super built-up  area,ready to move,hoodi,3 bhk,no society,1575.0,3.0,2.0,66.39,3.0,4215.238095238095
plot  area,ready to move,thigalarapalya,2 bedroom,no society,1200.0,2.0,1.0,65.0,2.0,5416.666666666667
super built-up  area,ready to move,begur road,2 bhk,dhalsh,1200.0,2.0,2.0,43.2,2.0,3600.0
